Year	Count	DataSetType	Type
2002	0	methylation profiling by high throughput sequencing	sequencing
2003	0	methylation profiling by high throughput sequencing	sequencing
2004	0	methylation profiling by high throughput sequencing	sequencing
2005	0	methylation profiling by high throughput sequencing	sequencing
2006	0	methylation profiling by high throughput sequencing	sequencing
2007	0	methylation profiling by high throughput sequencing	sequencing
2008	0	methylation profiling by high throughput sequencing	sequencing
2009	0	methylation profiling by high throughput sequencing	sequencing
2010	5	methylation profiling by high throughput sequencing	sequencing
2011	0	methylation profiling by high throughput sequencing	sequencing
2012	1	methylation profiling by high throughput sequencing	sequencing
2013	2	methylation profiling by high throughput sequencing	sequencing
2014	1	methylation profiling by high throughput sequencing	sequencing
2015	2	methylation profiling by high throughput sequencing	sequencing
2016	3	methylation profiling by high throughput sequencing	sequencing
2017	3	methylation profiling by high throughput sequencing	sequencing
2018	14	methylation profiling by high throughput sequencing	sequencing
2019	4	methylation profiling by high throughput sequencing	sequencing
2020	11	methylation profiling by high throughput sequencing	sequencing
2021	14	methylation profiling by high throughput sequencing	sequencing
2022	7	methylation profiling by high throughput sequencing	sequencing
2023	8	methylation profiling by high throughput sequencing	sequencing
2000	0	non coding rna profiling by high throughput sequencing	sequencing
2001	0	non coding rna profiling by high throughput sequencing	sequencing
2002	0	non coding rna profiling by high throughput sequencing	sequencing
2003	0	non coding rna profiling by high throughput sequencing	sequencing
2004	0	non coding rna profiling by high throughput sequencing	sequencing
2005	0	non coding rna profiling by high throughput sequencing	sequencing
2006	0	non coding rna profiling by high throughput sequencing	sequencing
2007	0	non coding rna profiling by high throughput sequencing	sequencing
2008	3	non coding rna profiling by high throughput sequencing	sequencing
2009	5	non coding rna profiling by high throughput sequencing	sequencing
2010	5	non coding rna profiling by high throughput sequencing	sequencing
2011	3	non coding rna profiling by high throughput sequencing	sequencing
2012	7	non coding rna profiling by high throughput sequencing	sequencing
2013	5	non coding rna profiling by high throughput sequencing	sequencing
2014	3	non coding rna profiling by high throughput sequencing	sequencing
2015	8	non coding rna profiling by high throughput sequencing	sequencing
2016	13	non coding rna profiling by high throughput sequencing	sequencing
2017	12	non coding rna profiling by high throughput sequencing	sequencing
2018	13	non coding rna profiling by high throughput sequencing	sequencing
2019	8	non coding rna profiling by high throughput sequencing	sequencing
2020	14	non coding rna profiling by high throughput sequencing	sequencing
2021	16	non coding rna profiling by high throughput sequencing	sequencing
2022	11	non coding rna profiling by high throughput sequencing	sequencing
2023	10	non coding rna profiling by high throughput sequencing	sequencing
